osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1896112,604,602,Cajabamba,CAJ,,751373,cajabamba,PE-CAJ-Cajabamba,,"{""area_sr"": 0.14626, ""area_km2"": 1785, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 42.3, ""side_estim_deg"": 0.3824, ""elongation_factor"": 2.08, ""shares_border_with"": [""PE-CAJ-Cajamarca"", ""PE-CAJ-SanMarcos"", ""PE-LAL-Bolivar"", ""PE-LAL-GranChimu"", ""PE-LAL-Otuzco"", ""PE-LAL-SanchezCarrion""]}"
1896113,604,601,Cajamarca,CAJ,,1431135,cajamarca,PE-CAJ-Cajamarca,,"{""area_sr"": 0.24355, ""area_km2"": 2975, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 54.5, ""side_estim_deg"": 0.4935, ""elongation_factor"": 1.86, ""shares_border_with"": [""PE-CAJ-Cajabamba"", ""PE-CAJ-Celendin"", ""PE-CAJ-Contumaza"", ""PE-CAJ-Hualgayoc"", ""PE-CAJ-SanMarcos"", ""PE-CAJ-SanPablo"", ""PE-LAL-GranChimu""]}"
1900934,604,603,Celendín,CAJ,,1431153,celendin,PE-CAJ-Celendin,,"{""area_sr"": 0.21667, ""area_km2"": 2649, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 51.5, ""side_estim_deg"": 0.4655, ""elongation_factor"": 1.8, ""shares_border_with"": [""PE-AMA-Chachapoyas"", ""PE-AMA-Luya"", ""PE-CAJ-Cajamarca"", ""PE-CAJ-Chota"", ""PE-CAJ-Hualgayoc"", ""PE-CAJ-SanMarcos"", ""PE-LAL-Bolivar""]}"
1901115,604,604,Chota,CAJ,,1431140,chota,PE-CAJ-Chota,,"{""area_sr"": 0.30723, ""area_km2"": 3758, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 61.3, ""side_estim_deg"": 0.5543, ""elongation_factor"": 3.03, ""shares_border_with"": [""PE-AMA-Luya"", ""PE-AMA-Utcubamba"", ""PE-CAJ-Celendin"", ""PE-CAJ-Cutervo"", ""PE-CAJ-Hualgayoc"", ""PE-CAJ-SantaCruz"", ""PE-LAM-Chiclayo"", ""PE-LAM-Ferrenafe""]}"
1900626,604,605,Contumazá,CAJ,,1948003,contumaza,PE-CAJ-Contumaza,,"{""area_sr"": 0.16953, ""area_km2"": 2070, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 45.5, ""side_estim_deg"": 0.4117, ""elongation_factor"": 2.17, ""shares_border_with"": [""PE-CAJ-Cajamarca"", ""PE-CAJ-SanMiguel"", ""PE-CAJ-SanPablo"", ""PE-LAL-Ascope"", ""PE-LAL-Chepen"", ""PE-LAL-GranChimu"", ""PE-LAL-Pacasmayo""]}"
1901116,604,606,Cutervo,CAJ,,1947910,cutervo,PE-CAJ-Cutervo,,"{""area_sr"": 0.24725, ""area_km2"": 3026, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 55, ""side_estim_deg"": 0.4972, ""elongation_factor"": 2.2, ""shares_border_with"": [""PE-AMA-Utcubamba"", ""PE-CAJ-Chota"", ""PE-CAJ-Jaen"", ""PE-LAM-Ferrenafe""]}"
1900935,604,607,Hualgayoc,CAJ,,1947926,hualgayoc,PE-CAJ-Hualgayoc,,"{""area_sr"": 0.06441, ""area_km2"": 788, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 28.1, ""side_estim_deg"": 0.2538, ""elongation_factor"": 1.87, ""shares_border_with"": [""PE-CAJ-Cajamarca"", ""PE-CAJ-Celendin"", ""PE-CAJ-Chota"", ""PE-CAJ-SanMiguel"", ""PE-CAJ-SanPablo"", ""PE-CAJ-SantaCruz""]}"
1901117,604,608,Jaén,CAJ,,683949,jaen,PE-CAJ-Jaen,,"{""area_sr"": 0.41112, ""area_km2"": 5036, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 71, ""side_estim_deg"": 0.6412, ""elongation_factor"": 1.98, ""shares_border_with"": [""PE-AMA-Bagua"", ""PE-AMA-Utcubamba"", ""PE-CAJ-Cutervo"", ""PE-CAJ-SanIgnacio"", ""PE-LAM-Ferrenafe"", ""PE-LAM-Lambayeque"", ""PE-PIU-Huancabamba""]}"
1900265,604,609,"San Ignacio",CAJ,,1814197,san.ignacio,PE-CAJ-SanIgnacio,,"{""area_sr"": 0.40044, ""area_km2"": 4910, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 70.1, ""side_estim_deg"": 0.6328, ""elongation_factor"": 1.94, ""shares_border_with"": [""EC-Z-CantonNangaritza"", ""EC-Z-CantonPalanda"", ""EC-Z-Chinchipe"", ""PE-AMA-Bagua"", ""PE-CAJ-Jaen"", ""PE-PIU-Huancabamba""]}"
1896114,604,610,"San Marcos",CAJ,,629428,san.marcos,PE-CAJ-SanMarcos,,"{""area_sr"": 0.11076, ""area_km2"": 1353, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 36.8, ""side_estim_deg"": 0.3328, ""elongation_factor"": 1.73, ""shares_border_with"": [""PE-CAJ-Cajabamba"", ""PE-CAJ-Cajamarca"", ""PE-CAJ-Celendin"", ""PE-LAL-Bolivar""]}"
1900627,604,611,"San Miguel",CAJ,,1947960,san.miguel,PE-CAJ-SanMiguel,,"{""area_sr"": 0.20746, ""area_km2"": 2535, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 50.4, ""side_estim_deg"": 0.4555, ""elongation_factor"": 1.89, ""shares_border_with"": [""PE-CAJ-Contumaza"", ""PE-CAJ-Hualgayoc"", ""PE-CAJ-SanPablo"", ""PE-CAJ-SantaCruz"", ""PE-LAL-Chepen"", ""PE-LAM-Chiclayo""]}"
1900628,604,612,"San Pablo",CAJ,,166706,san.pablo,PE-CAJ-SanPablo,,"{""area_sr"": 0.05441, ""area_km2"": 665, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 25.8, ""side_estim_deg"": 0.2333, ""elongation_factor"": 1.86, ""shares_border_with"": [""PE-CAJ-Cajamarca"", ""PE-CAJ-Contumaza"", ""PE-CAJ-Hualgayoc"", ""PE-CAJ-SanMiguel""]}"
1900964,604,613,"Santa Cruz",CAJ,,2084630,santa.cruz,PE-CAJ-SantaCruz,,"{""area_sr"": 0.11291, ""area_km2"": 1381, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 37.2, ""side_estim_deg"": 0.336, ""elongation_factor"": 2.03, ""shares_border_with"": [""PE-CAJ-Chota"", ""PE-CAJ-Hualgayoc"", ""PE-CAJ-SanMiguel"", ""PE-LAM-Chiclayo""]}"
