osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1954494,604,1002,Ambo,HUC,,980098,ambo,PE-HUC-Ambo,,"{""area_sr"": 0.13021, ""area_km2"": 1578, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 39.7, ""side_estim_deg"": 0.3608, ""elongation_factor"": 2.26}"
1954495,604,1003,"Dos de Mayo",HUC,,2088810,dos.mayo,PE-HUC-DosMayo,,"{""area_sr"": 0.12023, ""area_km2"": 1459, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 38.2, ""side_estim_deg"": 0.3467, ""elongation_factor"": 3.12}"
1954496,604,1004,Huacaybamba,HUC,,2084668,huacaybamba,PE-HUC-Huacaybamba,,"{""area_sr"": 0.1399, ""area_km2"": 1701, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 41.2, ""side_estim_deg"": 0.374, ""elongation_factor"": 2.95}"
1954497,604,1005,Huamalíes,HUC,,1819840,huamalies,PE-HUC-Huamalies,,"{""area_sr"": 0.25999, ""area_km2"": 3159, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 56.2, ""side_estim_deg"": 0.5099, ""elongation_factor"": 2.75}"
1954498,604,1001,Huánuco,HUC,,2100624,huanuco,PE-HUC-Huanuco,,"{""area_sr"": 0.33561, ""area_km2"": 4073, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 63.8, ""side_estim_deg"": 0.5793, ""elongation_factor"": 2.14}"
1954499,604,1010,Lauricocha,HUC,,188098,lauricocha,PE-HUC-Lauricocha,,"{""area_sr"": 0.15861, ""area_km2"": 1922, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 43.8, ""side_estim_deg"": 0.3983, ""elongation_factor"": 1.85}"
1954500,604,1006,"Leoncio Prado",HUC,,1468138,leoncio.prado,PE-HUC-LeoncioPrado,,"{""area_sr"": 0.40285, ""area_km2"": 4898, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 70, ""side_estim_deg"": 0.6347, ""elongation_factor"": 2.9}"
1954501,604,1007,Marañón,HUC,,764487,maranon,PE-HUC-Maranon,,"{""area_sr"": 0.40683, ""area_km2"": 4951, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 70.4, ""side_estim_deg"": 0.6378, ""elongation_factor"": 2.26}"
1954502,604,1008,Pachitea,HUC,,2084641,pachitea,PE-HUC-Pachitea,,"{""area_sr"": 0.2175, ""area_km2"": 2637, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 51.4, ""side_estim_deg"": 0.4664, ""elongation_factor"": 2.23}"
1954503,604,1009,"Puerto Inca",HUC,,1944276,puerto.inca,PE-HUC-PuertoInca,,"{""area_sr"": 0.83977, ""area_km2"": 10202, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 101, ""side_estim_deg"": 0.9164, ""elongation_factor"": 2.04}"
1954504,604,1011,Yarowilca,HUC,,2088849,yarowilca,PE-HUC-Yarowilca,,"{""area_sr"": 0.06299, ""area_km2"": 764, ""fat_deg_m"": 0.0000091, ""side_estim_km"": 27.6, ""side_estim_deg"": 0.251, ""elongation_factor"": 1.7}"
