osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
288247,604,0,"República del Perú",INT,PE,419,pe,PE,51,"{""area_sr"": 106.41709, ""area_km2"": 1289866, ""fat_deg_m"": 0.0000091, ""official_name"": ""República del Perú"", ""side_estim_km"": 1135.7, ""iso3166_alpha3"": ""PER"", ""side_estim_deg"": 10.3159, ""elongation_factor"": 2.42}"
1973462,604,1,Amazonas,PE,AMA,201162,amazonas,PE-AMA,,
1953170,604,2,Ancash,PE,ANC,205089,ancash,PE-ANC,,
1929522,604,3,Apurímac,PE,APU,208185,apurimac,PE-APU,,
1879287,604,4,Arequipa,PE,ARE,205068,arequipa,PE-ARE,,
1930901,604,5,Ayacucho,PE,AYA,205112,ayacucho,PE-AYA,,
1896111,604,6,Cajamarca,PE,CAJ,205078,cajamarca,PE-CAJ,,
1944657,604,7,Callao,PE,CAL,2634400,callao,PE-CAL,,
1923695,604,8,Cusco,PE,CUS,205057,cusco,PE-CUS,484,
1933551,604,9,Huancavelica,PE,HUV,505220,huancavelica,PE-HUV,,
1954493,604,10,Huánuco,PE,HUC,215221,huanuco,PE-HUC,62,
1899013,604,11,Ica,PE,ICA,208186,ica,PE-ICA,,
1948258,604,12,Junín,PE,JUN,207973,junin,PE-JUN,,
1967959,604,13,"La Libertad",PE,LAL,205126,la.libertad,PE-LAL,,
1969722,604,14,Lambayeque,PE,LAM,210061,lambayeque,PE-LAM,,
1944659,604,15,Lima,PE,LIM,211795,lima,PE-LIM,,
1994077,604,16,Loreto,PE,LOR,200938,loreto,PE-LOR,,
1891287,604,17,"Madre de Dios",PE,MDD,210896,madre.dios,PE-MDD,,
1875889,604,18,Moquegua,PE,MOQ,208182,moquegua,PE-MOQ,53,
1948452,604,19,Pasco,PE,PAS,211208,pasco,PE-PAS,63,
1986151,604,20,Piura,PE,PIU,208183,piura,PE-PIU,,
1944670,604,579240,"Provincia de Lima",PE,LMA,579240,lma,PE-LMA,,
1907899,604,21,Puno,PE,PUN,205104,puno,PE-PUN,,
1971661,604,22,"San Martín",PE,SAM,211793,san.martin,PE-SAM,,
1874307,604,23,Tacna,PE,TAC,207413,tacna,PE-TAC,,
1986974,604,24,Tumbes,PE,TUM,209597,tumbes,PE-TUM,,
1921996,604,25,Ucayali,PE,UCA,207424,ucayali,PE-UCA,,
1929523,604,301,Abancay,APU,,1771870,abancay,PE-APU-Abancay,,
1933552,604,902,Acobamba,HUV,,1948039,acobamba,PE-HUV-Acobamba,,
1923696,604,802,Acomayo,CUS,,1920602,acomayo,PE-CUS-Acomayo,,
1953171,604,202,Aija,ANC,,615891,aija,PE-ANC-Aija,,
1994078,604,1602,"Alto Amazonas",LOR,,1920572,alto.amazonas,PE-LOR-AltoAmazonas,,
1954494,604,1002,Ambo,HUC,,980098,ambo,PE-HUC-Ambo,,
1929524,604,302,Andahuaylas,APU,,1798747,andahuaylas,PE-APU-Andahuaylas,,
1933553,604,903,Angaraes,HUV,,2084862,angaraes,PE-HUV-Angaraes,,
1923697,604,803,Anta,CUS,,1920482,anta,PE-CUS-Anta,,
1929525,604,303,Antabamba,APU,,1814228,antabamba,PE-APU-Antabamba,,
1953172,604,203,"Antonio Raymondi",ANC,,1166121,antonio.raymondi,PE-ANC-AntonioRaymondi,,
1887794,604,401,Arequipa,ARE,,601118,arequipa,PE-ARE-Arequipa,,
1967963,604,1302,Ascope,LAL,,927324,ascope,PE-LAL-Ascope,,
1953173,604,204,Asunción,ANC,,1166116,asuncion,PE-ANC-Asuncion,,
1921998,604,2502,Atalaya,UCA,,1920509,atalaya,PE-UCA-Atalaya,,
1986156,604,2002,Ayabaca,PIU,,1367672,ayabaca,PE-PIU-Ayabaca,,
1929526,604,304,Aymaraes,APU,,1814234,aymaraes,PE-APU-Aymaraes,,
1918540,604,2102,Azángaro,PUN,,2088824,azangaro,PE-PUN-Azangaro,,
1973463,604,102,Bagua,AMA,,1366082,bagua,PE-AMA-Bagua,,
1944660,604,1502,Barranca,LIM,,1422596,barranca,PE-LIM-Barranca,,
1971662,604,2202,Bellavista,SAM,,2084689,bellavista,PE-SAM-Bellavista,,
1953174,604,205,Bolognesi,ANC,,1166113,bolognesi,PE-ANC-Bolognesi,,
1967968,604,1303,Bolívar,LAL,,951816,bolivar,PE-LAL-Bolivar,,
1973464,604,103,Bongará,AMA,,1342814,bongara,PE-AMA-Bongara,,
1896112,604,602,Cajabamba,CAJ,,751373,cajabamba,PE-CAJ-Cajabamba,,
1896113,604,601,Cajamarca,CAJ,,1431135,cajamarca,PE-CAJ-Cajamarca,,
1944661,604,1503,Cajatambo,LIM,,1422587,cajatambo,PE-LIM-Cajatambo,,
1923698,604,804,Calca,CUS,,1948019,calca,PE-CUS-Calca,,
1879621,604,402,Camaná,ARE,,1784851,camana,PE-ARE-Camana,,
1923699,604,805,Canas,CUS,,1920500,canas,PE-CUS-Canas,,
1923700,604,806,Canchis,CUS,,951287,canchis,PE-CUS-Canchis,,
1874308,604,2302,Candarave,TAC,,1944299,candarave,PE-TAC-Candarave,,
